"","PostMean","StDev","StErr","2.5%","97.5%","P"
"I(Age - 70)",-0.073,0.022,0.003,-0.123,-0.038,0
"I((Age - 70)^2)",-0.002,0.001,0,-0.003,0,0.052
"digleason_num_value",2.113,0.446,0.13,1.429,3.152,0
