"","PostMean","StDev","StErr","2.5%","97.5%","P"
"(Intercept)",-9.651,0.708,0.025,-11.084,-8.29,0
"Age",0.08,0.009,0,0.062,0.098,0
"visitTimeYears",-1.255,0.093,0.004,-1.437,-1.074,0
"I((visitTimeYears - 1) * (visitTimeYears > 1))",1.235,0.109,0.005,1.029,1.448,0
