"","PostMean","StDev","StErr","2.5%","97.5%","P"
"(Intercept)",-7.981,0.584,0.091,-9.144,-6.851,0
"Age",0.045,0.007,0.001,0.031,0.058,0
"visitTimeYears",64.085,2.97,0.492,57.971,69.129,0
"I((visitTimeYears - 0.05) * (visitTimeYears > 0.05))",-63.337,2.981,0.489,-68.503,-57.319,0
